,pvalue,medianA,medianB,meanA,meanB,pvalue_adj
Hsp67Bc,2.1271338582096335e-253,12.729697365137165,0.0,12.493340558752905,0.7003032560477409,3.464675628251851e-249
Hr4,3.893008458662434e-223,9.19350418127868,0.0,8.37115859512606,0.45894563879803774,6.340932177469372e-219
fax,3.3500433276896374e-207,10.943499524184089,5.943107202929458,10.64298970947374,4.958210570992725,5.456550572140881e-203
shakB,1.9929738165451485e-191,11.396324474539027,7.967180766978588,10.930000942014608,6.262811010911429,3.246155752388738e-187
Act42A,7.639265025698084e-187,10.99821646586842,0.0,10.054521938567953,2.637169118336068,1.244283487385704e-182
CG8177,1.5319438735775188e-177,0.0,7.433957367615902,0.26513111799852385,5.811168846376885,2.4952301812830626e-173
fabp,2.286114778177335e-164,9.330226046351306,0.0,8.419522838691154,2.447177384843399,3.7236237506952435e-160
Hsp23,1.91152312613514e-157,10.813295262230367,0.0,10.093748232160085,3.81249524875552,3.113488867848916e-153
IA-2,1.607321061365968e-154,9.144448920377801,12.141601207886673,8.072137671498425,11.663096104952066,2.6180045447528887e-150
CG7582,2.940675834052388e-150,0.0,7.336836510174101,0.22939020981469768,5.189064339046622,4.78977279850453e-146
CG3662,6.1695378393754684e-148,9.096933686768145,12.016527024879895,7.794613878322648,11.004493658860335,1.0048943232774763e-143
CG12643,1.8556692909963267e-146,7.875822232670702,0.0,5.7528422276856235,0.11816055880047018,3.022514141174817e-142
Akap200,1.0156721400630206e-145,9.140988951673666,0.0,8.081561946959871,2.514126487223599,1.654326781734648e-141
CG2852,4.941876001885095e-145,11.266529229009581,8.868332877279716,11.127048930453903,7.522933131402449,8.049327631870442e-141
CR31451,3.5388064463687177e-140,10.475745824674904,12.57287099512882,9.519230845142342,11.851834859986,5.764007939845367e-136
gukh,1.1413810707996356e-139,7.497683142855432,0.0,5.780121858931021,0.5053141757390994,1.8590814881184466e-135
tsr,9.685895548009238e-138,9.755825933591288,4.829312872905307,8.93961092782657,4.116979040151098,1.5776386668597446e-133
Gpdh,2.7280375361799906e-137,0.0,9.969205077434914,1.702850899544825,7.655575467630202,4.4434275389299686e-133
Ddc,4.101027108737141e-137,0.0,9.598668170261597,2.3816988649423045,7.950930358448808,6.679752954711055e-133
CG4678,4.218969214439115e-137,0.0,1.7225855194531687,0.004603138455360087,3.979565038755653,6.87185705647843e-133
Tctp,3.004544039770718e-134,9.444762900733796,0.0,8.453042197147406,3.160823389752082,4.893801331978545e-130
Calr,3.740976460110431e-132,10.615861586664364,8.089766210838647,10.28607623012074,5.975656774486296,6.09330245822787e-128
Fas1,1.2309867993173059e-129,7.258016079221218,10.05492369002113,6.8161578042927875,9.476433509267459,2.005031298728028e-125
Ald,3.6758155496914974e-127,10.052197439828156,12.121225610723982,8.901650495503237,11.41103275035481,5.987168367337511e-123
Btk29A,9.250780098093697e-125,6.587550731592581,0.0,5.180171695112757,0.7383603669995558,1.5067670623775014e-120
Hsp67Ba,2.4728877203495993e-124,7.9373460385385295,0.0,6.887719076432735,2.629856190899261,4.0278395189054276e-120
CG42492,7.060155035783445e-124,9.680349707023902,6.212141034093294,9.273017455732818,5.127723729180405,1.1499580522284075e-119
CG14312,9.341034034191124e-124,7.510459601314808,0.0,6.288324842856667,1.4704040569185117,1.5214676234890502e-119
CR41535,1.5062040141441562e-123,5.132215884053076,3.032877903809148,5.13257791703815,2.9290521100687266,2.4533050982380016e-119
CG11099,3.0772913788112724e-121,0.0,0.0,0.007591043957106239,3.0183195785900017,5.0122921978078e-117
CaBP1,3.795184856319629e-120,8.34780421583412,0.0,7.044275211841864,1.9116577276833477,6.181597093973412e-116
Oatp74D,1.0292936439586762e-119,5.529692177134465,0.0,4.512298695283445,0.46745849684860263,1.6765134872798918e-115
CG13920,1.4628353139979869e-118,9.556804456626491,1.8480444819753508,8.561316379116272,3.92363839059139,2.3826661594399212e-114
CG3402,3.8676013171703964e-118,8.034607724830487,0.0,6.134618854601162,1.0712382432074092,6.299549025407142e-114
cpx,1.4096380361708486e-117,11.414198902723472,13.0548577913647,10.738615359546042,12.269912679529236,2.2960184333150782e-113
Gbeta13F,5.3380734387582154e-117,11.31632176206564,9.884056781099254,10.823808922764103,8.600027801445034,8.694654017049381e-113
CG8745,5.641896614494596e-116,0.0,1.9289213935583782,0.15668584466948543,3.3814525398910393,9.1895212056888e-112
GEFmeso,1.5418022030728056e-115,5.6991384101459746,0.0,4.679179738407267,0.5009282678130658,2.5112874283649857e-111
CG13055,5.690966274972579e-114,2.9788595415144687,0.0,3.0753960151928608,0.2447318179430979,9.269445868675337e-110
Myo81F,2.189737229732283e-112,7.194705609982853,0.0,5.623017421431049,1.3118293003477572,3.5666439997879424e-108
Df31,5.900316562588799e-111,10.05554327160724,6.072720056695056,8.828049774213751,4.668667968390409,9.610435617144637e-107
eIF-5A,1.2850458560515162e-109,8.722271619747705,0.0,7.496916657288609,2.9290197193854746,2.0930826903367096e-105
CanB2,1.4302471042531902e-109,10.210438618839028,6.367940376479677,9.211175111021547,4.780476553348678,2.329586483407596e-105
Hsp26,3.1458736911935655e-109,10.532279058745877,3.522446084444659,10.085382094303823,4.625971592686168,5.123999068216079e-105
Eno,9.204170325039242e-109,8.9320822781916,11.346102084364514,7.0672167886380555,9.997681898672532,1.499175262542392e-104
PyK,1.217601406499075e-108,6.771906173204809,10.579545324849756,4.99670273555717,8.920380193710466,1.9832291709056936e-104
CG12038,1.6381182947130007e-108,8.676243327054813,0.0,7.061965626603692,2.2836531457754736,2.6681670784285355e-104
RpS5a,5.979724027745252e-106,9.660129419881699,6.708353242184764,8.550237903056903,4.841212729976659,9.739774496391467e-102
CG30172,4.968413036982803e-105,9.986389028071752,8.12699824845914,9.53028643437835,6.608716965716063,8.09255115463759e-101
Hr46,7.688229225020278e-105,7.073845864449903,0.0,5.717825434403616,1.613108716281847,1.2522587761713028e-100
CG1943,1.555622453059982e-104,8.499212919528313,0.0,7.227709516617283,2.6538286041349104,2.533797851544099e-100
CG14321,2.4576553309760765e-103,7.643347908203869,0.0,6.575494881557175,2.249266432240871,4.003029003093834e-99
Ost48,4.1618519529295254e-103,8.945501961548498,0.0,7.605111775952242,3.2055463124924133,6.778824460931611e-99
Argk,9.790794272804984e-103,10.2520443821197,12.079149735006583,9.418075116599622,11.215572814166341,1.594724571154476e-98
GMF,2.6304894849637395e-101,6.580806968412281,0.0,4.831320898013782,0.6740488770830205,4.2845412731089387e-97
HmgD,4.035453550962318e-101,7.714614248056798,0.0,6.3864011807343966,1.8412242580564204,6.572946743807423e-97
Trpgamma,6.334632043820953e-101,0.985574727047156,0.0,2.546859595854493,0.04865110832623726,1.0317848672975568e-96
FK506-bp2,7.33400188575281e-101,10.056785365400923,8.109274103286268,9.243920886983759,6.1132226505758025,1.1945622271514177e-96
Syt12,8.916172980180975e-101,8.032895305292842,0.0,6.181448790914214,1.4794668821578532,1.4522662550118772e-96
Hsp27,2.75288722228277e-100,8.712265370465431,0.0,7.6563876132123125,2.8773022836119133,4.483902707654175e-96
CG8613,3.828801128431164e-100,0.0,0.9482749951113074,0.313858503071578,3.673872417463187,6.23635127798868e-96
CG9328,7.891085461707005e-100,0.0,8.859820345338846,2.219191232916106,6.69073853296837,1.285300000002837e-95
CG5885,2.34872593720072e-99,7.14040361185153,0.0,5.5165233576540125,1.1736680230988268,3.825604806512533e-95
RpL13A,2.488999333892893e-99,10.028890453419654,7.977161727031129,9.28232484103314,6.106341290833624,4.054082115044744e-95
IscU,6.69877151783981e-99,8.68744648028999,11.03885577018323,7.302791985404304,9.640308908397278,1.0910959048257482e-94
Hsc70-3,6.250108744350043e-98,10.039783961796113,6.032004480564489,8.975779210637587,4.867699812412158,1.018017712279735e-93
SIFaR,1.5604323659714497e-97,2.4329269631982706,0.0,3.556862080611681,0.3038468360164617,2.5416322376942972e-93
CG12817,2.4977726858800307e-97,7.291462317333988,0.0,5.930261676772867,1.6559591241709024,4.068372150761394e-93
CG5446,1.0756639185800843e-96,7.782384993835749,0.0,6.589363128120877,2.2567046917280544,1.7520413905832414e-92
Dscam1,7.85645364554023e-96,7.220732906671183,0.0,5.9403023639399315,1.9342594376974656,1.2796591697855926e-91
CG13551,1.6338486192775357e-95,8.797967744635098,5.734971102039433,8.106067194013287,4.398519121280142,2.6612126310792504e-91
Jupiter,1.0323043683412512e-94,10.078183794790574,8.44287837007724,9.430098999698625,6.688263610031934,1.68141735515423e-90
CG9922,8.324383302049004e-94,6.235742675059104,0.0,4.711899337266913,0.9371113783801638,1.3558755522377417e-89
CG2680,8.353002545668145e-94,0.0,6.3371831809774255,0.6644708278465625,4.671762063262686,1.3605370546384276e-89
CG15097,4.723975820433339e-92,4.04128281214642,0.0,4.2215480484417895,0.5296777544302236,7.694411816321822e-88
Cyp1,5.2640109145300996e-92,11.715038513009686,10.565046643467744,11.399963758199197,9.444397614783476,8.574020977586626e-88
Scgalpha,5.4911488581703964e-92,7.837365293710732,0.0,6.300119202013497,2.0131285203140488,8.943983260187941e-88
fne,8.063835447712951e-92,11.126712484768264,10.00420051321153,10.857544148580995,9.165297658912603,1.3134375177234854e-87
CG17270,2.2462703564062382e-91,9.486972022925107,0.0,8.05375605207172,3.9133998844801776,3.6587251565144807e-87
CG13364,6.008427485586045e-91,7.4775159080761515,0.0,6.59360315055146,2.9746582897375835,9.78652668852255e-87
Hs3st-B,8.459908734691504e-91,8.089099359484077,0.0,6.17528380448057,1.8319667714425791,1.3779499347065522e-86
HIP-R,1.7409773278176824e-90,6.100187624667562,0.0,5.103479274385294,1.853716510288503,2.835703871549441e-86
CG3822,2.072243115587465e-90,5.596954486233858,0.0,4.47863125717046,1.0267728624014705,3.375269586668863e-86
Hasp,7.199741204987011e-90,7.599650181427497,10.396951557896863,6.226347997299327,9.041068262623298,1.1726938474682843e-85
CG31345,1.4364902170582904e-89,0.0,0.0,0.1442806015338206,3.485175896561294,2.3397552655445435e-85
ERp60,3.729409021627017e-89,9.551294542691004,4.154106812742869,8.509910741128957,4.350814537905952,6.074461414426085e-85
RpL41,2.682314204588998e-88,7.972105020931938,5.8885045493396015,7.177411654571021,4.588286597568775,4.36895337643456e-84
alphaTub84B,8.090619263322971e-88,12.091775217333778,10.71833441511912,11.511754930596323,9.053821953379991,1.3178000656100456e-83
RhoGAP100F,1.9767584044627691e-87,8.224603693001848,1.2611041149601765,7.040337064826844,3.07777479674878,3.2197440891889585e-83
RpS7,2.149119106939458e-87,10.287045895804997,8.73998470074611,9.529888597794594,7.139690707291268,3.500485201382989e-83
mbf1,2.4095033090634835e-87,8.773432255206023,0.0,7.123568534895166,2.9788637918985565,3.924598989802602e-83
Fie,2.823464287540002e-86,0.0,9.095119902021779,2.920672893391535,6.955339353640452,4.598858631545155e-82
CG2862,1.8838903446885115e-85,7.485767652256653,0.0,6.1566656519912195,2.2474712978494202,3.0684805934286475e-81
CG4164,2.1985061085085637e-85,6.3367195679664325,0.0,4.888921781228535,1.1528378915462003,3.5809267495387487e-81
smt3,1.1886155598872817e-83,8.992913690234467,7.186850909675103,8.417211892339008,5.614145192557321,1.9360170239444043e-79
GstZ2,7.992445789724501e-83,7.3786085588880335,0.0,5.544367561679061,1.417372853523535,1.3018095702303268e-78
CG17029,8.348259559617097e-83,0.0,0.0,0.18281252882926488,3.252754578058956,1.3597645170704328e-78
prominin-like,7.125026015851938e-82,7.359847630018164,0.0,5.933832319163615,2.0228876491486494,1.1605242374619636e-77
CG8031,2.00456806642033e-81,6.5875016657398735,0.0,4.755990158529797,1.0098468376996832,3.2650404665854333e-77
SsRbeta,2.3593587281574004e-81,6.6844367747341416,0.0,5.234472762916748,1.6011509488964735,3.8429234964227736e-77
CG4393,2.427358295370964e-81,6.956663624578299,0.0,5.237461456376271,1.3233470739782704,3.9536811915002256e-77
CG15772,9.064293584295946e-81,0.0,9.056859022832999,2.3563089824048786,6.4153124317218575,1.4763921390101236e-76
CR40668,9.090608433039068e-81,3.8281514461439867,2.291926397312875,3.729077651822313,2.2602318482132286,1.4806783015734033e-76
CG42239,1.2634698033246303e-80,4.790164893844926,0.0,3.750890058477735,0.8244616811627962,2.057939615655158e-76
Src64B,2.373475149350624e-80,6.600076088768686,0.0,4.979932797635239,1.2802170464375184,3.865916323262296e-76
CG42806,6.373547296671402e-80,5.905690984992504,0.0,4.585676034178268,1.109517191688818,1.0381233836818379e-75
Sec61beta,3.826950860734619e-79,7.912886819370124,0.0,6.815694987782993,3.0513728750184375,6.233337561964548e-75
Sema-2a,4.756422227305883e-79,6.947529951100893,0.0,5.84614894507143,2.3190839907637617,7.747260523835822e-75
CG42392,1.0007778110840419e-78,0.0,6.759848576510484,1.8413465786099992,5.235588941615758,1.6300668986936875e-74
RpL10,1.1289626358211635e-78,9.255614137969774,7.156513165647619,8.224738978960415,5.408388543781683,1.8388543412255113e-74
RpS13,2.638453103061574e-78,8.078600582040236,0.0,6.950672459681264,3.373662307451245,4.297512414266692e-74
betaTub56D,4.347604897895911e-78,11.904002199358597,10.470101002198408,11.367243714008541,8.667748481364914,7.08137885769286e-74
Pdi,8.852791533681538e-78,8.191835472367076,0.0,6.721281991198035,2.8685059351195883,1.441942685006049e-73
cib,1.0439635981502746e-77,5.923052499874166,0.0,4.959284461932968,1.709507227429506,1.7004079086671672e-73
Rab6,1.338538660834015e-77,8.626521688886333,0.0,6.854012610282796,2.7085730273549755,2.1802117707664438e-73
HIP,1.3403032010577875e-77,6.2604596399864825,0.0,5.303927457221989,2.160163460770133,2.1830858538829242e-73
Pglym78,1.9332632373090635e-76,8.125966801615789,10.464126816010054,6.468265751152604,8.916238664498705,3.148899160929003e-72
Tapdelta,2.2993730469767243e-76,7.4744238928746665,0.0,6.128703952260686,2.1272931574331535,3.745218818915689e-72
sta,2.437413533021032e-76,10.501137569839194,8.773037989781944,9.366720995883538,6.665131761006933,3.9700591625846566e-72
CR45054,2.0131164379579544e-75,0.0,0.0,0.04352379834407779,1.510033856784199,3.278964054145916e-71
CG5447,2.2728541201094015e-75,6.016308989136799,0.0,4.444943430171061,1.0188972341374156,3.702024790834193e-71
NAA20,3.499658046413217e-75,7.910753665116749,0.0,6.115284931751851,2.0821537630004947,5.700243025997848e-71
Ref1,4.2539895440134115e-75,7.789726670984285,0.0,6.353231904169133,2.730885071568813,6.928898169289045e-71
Eogt,4.87090239806592e-75,1.5846865178738756,0.0,3.3743337066801735,0.43751548146026664,7.93372582596977e-71
CG40045,5.934513190838853e-75,8.191559196329633,4.26512289464786,7.025841458955718,3.8272406324404717,9.666135085238324e-71
CG11000,6.681815270860973e-75,5.796210692628024,9.028603126453964,4.54275551501168,7.47820153883297,1.0883340713178352e-70
RpS4,1.4990157232144097e-74,9.41847570957149,7.082139018519217,8.29463671766347,5.038569235359601,2.4415968099716304e-70
CG8860,5.00185153650369e-74,5.408025038043919,0.0,4.494401757433477,1.576490386578243,8.147015782657211e-70
Inos,1.5853776198528895e-73,0.0,0.0,0.3027618593685625,3.29101648799111,2.5822630672163865e-69
Gp93,3.841398081976213e-73,6.864452791056352,0.0,5.064678243496565,1.4380666618280553,6.256869195922856e-69
CG15387,3.8889886171453886e-73,0.0,0.0,3.0930778712392386,0.3469590671033329,6.334384659606409e-69
RpL23A,3.950787734793015e-73,9.468821085550324,7.613690076605874,8.429159817433561,5.793510950337443,6.435043062430863e-69
Sema-1a,9.307910034161338e-73,8.918043441326017,5.677544397114485,7.930553228050429,4.609341039978314,1.5160723863641988e-68
14-3-3epsilon,3.043902832148644e-72,12.899736671462962,12.08417174678438,12.680409570960352,11.22561851389955,4.957908933003711e-68
CG34383,4.718211570400734e-72,7.26266366652022,0.0,6.016188320128683,2.4765525622499007,7.685023005868716e-68
CG18081,6.136193101148877e-72,6.178253292608828,0.0,4.486951322236849,1.1478650821978946,9.994631323151292e-68
Hop,6.875620256161691e-72,7.108439710489629,0.0,5.559971453607717,1.9800984757666509,1.1199010273236163e-67
RpLP2,7.216353711386131e-72,8.295967355160375,5.931063179941338,7.350213674458675,4.531376123885764,1.175399692510573e-67
CG45049,1.1202350554611895e-71,8.993482485425686,6.263578906038168,8.00479844980713,4.797079041490741,1.8246388583351856e-67
RpS15,2.4240262252408674e-71,9.117162791065596,7.398286795153871,8.144287204627316,5.736938919709969,3.948253915672325e-67
CadN,2.935196192843899e-71,9.036783376418867,6.257151652433635,8.448785749558006,5.406887447473589,4.7808475589041426e-67
CG34159,3.2859612432129843e-71,8.098362966667851,0.0,6.705087151386425,2.9204322461267234,5.352173672945309e-67
CG9548,3.679133502204949e-71,5.414276822956522,0.0,4.228580413780985,1.0856716218884312,5.992572648391421e-67
Cbp53E,4.112216513441291e-71,5.600231184740332,9.764581002857188,4.955311667373707,8.38400920683266,6.697978257093174e-67
Nph,5.8706548403333265e-71,6.627324593480853,0.0,5.115469576453485,1.606460721767775,9.562122603934923e-67
RpS24,5.919291229691528e-71,8.251966786467401,4.7648036796964615,7.034882284512783,3.9346732143846617,9.64134155492156e-67
CG9344,1.0497905154698436e-70,4.605204798770738,0.0,3.634785590636228,0.8421415145761554,1.7098987915972813e-66
Ostgamma,1.9525784907579287e-70,7.0415459175259665,0.0,5.213380198473191,1.585987170044508,3.180359845746514e-66
Tsp39D,2.5575075240394234e-70,7.473402240654474,0.0,5.7700940799854985,2.1757852668604727,4.165668255155413e-66
Rac1,2.6799319285375644e-70,8.54050640804632,0.0,7.049807580179421,3.2419182722867665,4.3650731252019846e-66
Gapdh1,3.195593831348306e-70,9.232095700735714,10.994671269226991,7.513576231048861,9.622970836061622,5.204983232500121e-66
Prosalpha4,7.87076445700061e-70,7.174296171827755,0.0,5.367445176091308,1.68973685038747,1.2819901147562594e-65
AcCoAS,8.078772454609408e-70,6.277021149316648,9.528690740202018,4.78703589162536,7.612981059378283,1.3158704574067804e-65
RpL39,1.922270738470523e-69,8.240983417256361,6.655200777910677,7.520432331370159,5.847054240163287,3.1309945788207876e-65
His4r,2.545589008952947e-69,10.30780243340083,8.662936689280766,9.883080544805757,7.574562284663635,4.14625537778256e-65
CG10098,5.28183456837404e-69,8.652914574845498,0.0,6.791700888306413,3.147622541975383,8.603052144967635e-65
CG4972,1.4338615279230154e-68,4.819100209804449,0.0,4.09286178383724,1.1045244047086253,2.3354736566810076e-64
Adk1,2.4862905125704528e-68,0.0,5.225284890137451,1.0379226246467328,4.476512349460866,4.0496699868747536e-64
RpL10Ab,2.6455463331320418e-68,9.570112502388627,7.631102533341995,8.524225987676598,5.942145206768937,4.309065867405469e-64
Mp,3.3077158143513356e-68,8.958783782458406,0.695184736970421,7.508014702545868,3.748200189811114,5.387607518415455e-64
OstDelta,4.4572950669403414e-68,5.624418587207499,0.0,4.547011741769395,1.205469339645259,7.260042205032428e-64
Fas3,4.519160042048986e-68,6.750788016493449,0.0,5.093468294273785,1.4114792364859325,7.360807876489389e-64
Map205,5.2023845614921896e-68,3.1325029272298366,0.0,3.5146278797897397,1.021935076122992,8.473643973758478e-64
CG3797,5.788526649345753e-68,2.3819925412021727,0.0,3.487566781157125,0.7311971712683991,9.428352206454363e-64
CG9135,7.012132132287288e-68,2.649328955465185,0.0,3.779925063884053,0.7385059821777571,1.1421360817069535e-63
CG42541,7.301078188879055e-68,8.277157691777923,0.0,6.805354528717299,2.8996676276309383,1.1891996154046204e-63
RpL27,7.850534777788065e-68,7.102830413828625,1.3356508760045465,5.975032528002933,3.0049256177797212,1.27869510460612e-63
HP4,8.39152093745208e-68,6.5512344066829575,0.0,4.985678689587689,1.5901084854770648,1.3668109302921946e-63
Plod,1.3050542740155587e-67,1.6012045304540172,0.0,3.3894341209444687,0.530853375110891,2.125672401516542e-63
Arpc2,2.3890998247385273e-67,5.457709973291808,0.0,4.296720183470151,1.130368240296868,3.891365794534113e-63
RpL26,3.376231202849243e-67,7.9774758314799135,5.351331829461527,6.805173695022459,4.001120161528331,5.499205383200846e-63
Non2,5.507768268448912e-67,8.896709078011133,0.0,7.265071701300869,3.4731112487975047,8.971052955649588e-63
SmF,1.356032614417944e-66,0.0,0.0,2.5787599268525767,0.3563426274180745,2.208705922363947e-62
inc,2.416704469894083e-66,7.340770848364719,0.0,5.398531081599271,1.9200126908523918,3.936328240563482e-62
CG4676,5.127670431354084e-66,4.811881685328046,0.0,3.7792549384961855,0.7775486378258886,8.351949598589533e-62
CG2519,1.1965524447366375e-65,6.595370310425528,1.3224556370841738,5.617484578884428,2.6750728205652075,1.948944621987035e-61
CG1764,1.4233404502841725e-65,6.433148345838525,0.0,4.632117045142576,1.2047740553542488,2.31833692542286e-61
RpL18A,1.6073520776898888e-65,9.04210023241599,7.064894144778711,8.069368646938038,5.2441463478918875,2.6180550641412908e-61
CR43481,2.588227624325149e-65,1.5595533604359744,0.0,1.715881525937981,0.4909811928794009,4.215705154500803e-61
CG34136,2.9557526510685e-65,0.0,0.0,2.3960721042971227,0.24100758978461978,4.814329918060373e-61
cnir,3.6780055709599664e-65,0.0,0.0,3.164396159558105,0.49285756226377314,5.990735473979593e-61
CG33774,3.92438121727578e-65,4.323620462878342,0.0,3.4854989975694806,1.1060077481288597,6.39203212669879e-61
TM4SF,4.130238449422293e-65,10.340614484688796,11.452464341728884,9.316060480271974,10.20326575486492,6.72733238641903e-61
RpS20,4.1657743102331526e-65,6.530964171037307,0.0,5.418221125622886,2.2600559682014048,6.785213196507759e-61
Dscam4,6.545897217302562e-65,7.6482368228188635,0.8390533852003519,6.299714672151574,2.825693816182909,1.0661957387542413e-60
icln,9.945951889578067e-65,5.05266112079974,0.0,3.8966957561014945,0.9536468453739457,1.6199966437744756e-60
Gdi,1.0585460451724201e-64,8.633502897282893,5.96026520489011,7.722919006151614,5.084953728023729,1.7241597983768378e-60
otk,1.2986930931255583e-64,0.0,0.0,2.8996347669619222,0.4306569915451327,2.1153113100829094e-60
RpL40,1.3762697672217438e-64,9.280373641399793,7.775599118551874,8.454220601697001,6.531333294025034,2.2416681968507764e-60
CG5281,2.9406527705083107e-64,7.576259470546478,0.0,5.6404110486187955,2.0927170026182753,4.7897352326039364e-60
fru,3.5324514876056674e-64,0.0,4.759780767928696,1.2176825015364587,4.345635629562359,5.753656983012112e-60
mam,6.863316763924121e-64,6.5470446738096575,0.0,5.320914864697474,2.216620802223107,1.1178970345079608e-59
CG7048,9.617296721576802e-64,7.423607786755704,0.0,5.990792135397635,2.5285182141505365,1.5664652900104296e-59
Snp,1.8172472860397762e-63,3.8417605297561983,0.0,3.5730288881904158,0.9214377756766633,2.9599323795015877e-59
