,pvalue,medianA,medianB,meanA,meanB,pvalue_adj
CG12643,1.4219665832863888e-270,9.805602499999999,0.0,9.60554867053911,0.11816055880047018,2.31609917085687e-266
Hsp67Bc,2.334123650352699e-264,11.577183,0.0,11.525603194503164,0.7003032560477409,3.8018206016944764e-260
Act42A,1.7492493234623605e-260,12.651558999999999,0.0,12.571914833509503,2.637169118336068,2.849177298055493e-256
Act5C,2.0627878237083297e-252,14.3079965,11.084941777414898,14.222491799682867,9.807611776435795,3.3598688072561274e-248
CR40640,9.419271029584235e-251,5.02113765,0.6984173911002385,5.088345360570822,0.9344788078335875,1.53421086529868e-246
sn,5.441994489771813e-246,10.526766,0.0,10.17154045400634,1.6031680247170481,8.86392062494033e-242
CR43481,9.535888608023747e-246,5.625975,0.0,5.444245401754763,0.4909811928794009,1.5532055364749077e-241
Hsp67Ba,3.1954311022877715e-245,9.2930595,0.0,9.179095450634254,2.629856190899261,5.204718179406322e-241
tsr,4.6437533372125086e-240,11.175574999999998,4.829312872905307,11.016026373255794,4.116979040151098,7.563745435651734e-236
fax,3.4542154989284723e-239,10.991058500000001,5.943107202929458,10.91280000169133,4.958210570992725,5.626226204654696e-235
Hsp27,6.668497180975099e-238,11.2321885,0.0,11.0393996706131,2.8773022836119133,1.0861648208372241e-233
cib,4.89904184762458e-235,9.491259750000001,0.0,9.231983150845663,1.709507227429506,7.979559361410916e-231
betaTub56D,1.074781771086674e-234,13.617505999999999,10.470101002198408,13.451130991331933,8.667748481364914,1.7506045487459747e-230
alphaTub84B,1.5244636344530237e-234,13.36098,10.71833441511912,13.254151814693442,9.053821953379991,2.483046367797085e-230
Tob,2.186878829282449e-229,0.0,7.65691615677966,0.1294854616807611,6.1907395914430845,3.561988237135253e-225
CR41535,3.315654584060856e-229,6.071207299999999,3.032877903809148,6.129301340909087,2.9290521100687266,5.400538186518322e-225
Hsp23,8.977922904667861e-226,11.357028999999999,0.0,11.331584679704024,3.81249524875552,1.4623240827123012e-221
Hsc70-4,9.341398962862056e-224,12.5257145,9.249578431495742,12.334329550317122,7.404266949350112,1.521527063070972e-219
Akap200,9.739938030479303e-224,9.5943085,0.0,9.479529732346728,2.514126487223599,1.586441106404469e-219
arm,2.32419318019323e-223,11.5547975,6.754248731872005,11.30918086155391,5.211893524346998,3.785645851898733e-219
IA-2,3.642157871149289e-220,5.740819299999999,12.141601207886673,4.704197546839319,11.663096104952066,5.932346740527962e-216
Gdi,1.9387318749130838e-215,10.181666,5.96026520489011,10.042158624630023,5.084953728023729,3.157806477858431e-211
chic,3.1501645730855395e-213,11.174131,8.35440741591571,11.056121124947147,6.24525390305709,5.130988056641727e-209
Df31,2.0198590195783828e-212,10.447565999999998,6.072720056695056,10.389357876532753,4.668667968390409,3.28994637108927e-208
fabp,2.628471053538571e-212,9.104055500000001,0.0,8.896232544608884,2.447177384843399,4.281253652003624e-208
CG8177,2.6579468764048387e-212,0.0,7.433957367615902,0.07533714127906978,5.811168846376885,4.329263872288202e-208
CG9636,1.382172805621825e-211,10.135308,0.0,9.68040158983085,2.623425898173393,2.2512830657968284e-207
ps,5.579717102315759e-210,0.0,10.596166001245711,3.03552311715645,9.796302479774962,9.088243216251908e-206
Ef1gamma,2.528717031306134e-208,9.778158999999999,0.0,9.366677187611,2.8540587630707295,4.1187743005914314e-204
dock,2.609607633596988e-207,10.355248,0.5183568650695752,9.847735518921768,3.3796582287924233,4.2505289136027746e-203
Ef1alpha100E,1.9191278129215524e-206,12.363467499999999,10.008459947584646,12.2184456781184,8.379086873250849,3.1258753816866247e-202
CG31808,7.601258251658745e-202,0.0,8.949043675078544,0.6436351265433403,7.2369118535364665,1.2380929440301763e-197
PPP4R2r,1.726071963749985e-201,9.547334,0.0,9.0549211061945,2.351072813114494,2.8114260145559755e-197
CR31451,1.4769576353191486e-199,7.8302882,12.57287099512882,7.210508479112044,11.851834859986,2.405668596407829e-195
cpx,2.1034928242436513e-199,8.401834,13.0548577913647,7.91571105338267,12.269912679529236,3.426169112128059e-195
mt:CoII,4.196036923065303e-199,10.24310225,13.008676312989495,10.068377219661736,12.783711199749868,6.834504940288765e-195
CR40668,8.722676581642822e-199,4.43284715,2.291926397312875,4.485960987896408,2.2602318482132286,1.4207495616179827e-194
Ost48,5.851595427728404e-196,9.8835215,0.0,9.434584833319239,3.2055463124924133,9.531078632684025e-192
Hsp83,4.18458604283521e-195,12.7965445,10.00321882494113,12.644484025158567,8.35724358530155,6.81585374656999e-191
yps,4.629714528978409e-195,9.7998245,0.0,9.24358295974629,2.8287326080643482,7.540879024800034e-191
Cct5,1.9423556257728907e-192,9.3762295,0.0,8.542332024978867,1.4016170590715469,3.163708843258884e-188
Tctp,5.830661083613409e-192,9.730029,0.0,9.466451139112044,3.160823389752082,9.49698077298952e-188
Cam,1.0368943451251413e-191,9.2735925,12.014987378870707,9.130971507928132,11.627619983962111,1.68889350933983e-187
Nlp,6.994665490879162e-190,8.988372,0.0,8.572072685264267,1.9181884633140043,1.1392911151543978e-185
RpS5a,3.910850246516336e-189,10.0740145,6.708353242184764,9.92835630475687,4.841212729976659,6.369992881525807e-185
CG5446,7.201368729308237e-188,8.545688499999999,0.0,8.312024518710363,2.2567046917280544,1.1729589386297256e-183
Non2,6.840567025906523e-187,9.9772155,0.0,9.747048486257937,3.4731112487975047,1.1141915571796545e-182
mt:CoIII,6.842441939225902e-186,9.8366285,12.539983720038634,9.725932728435513,12.251934459141902,1.1144969430611149e-181
CG11000,6.96888263405796e-186,0.0,9.028603126453964,0.8908343892283301,7.47820153883297,1.1350916034353606e-181
CG17124,1.5113452208946623e-184,9.699774,5.284601768173802,9.272088986680775,4.199520782317646,2.461679095793226e-180
TER94,2.0092222389329382e-184,9.3813485,0.0,8.467767300465107,2.1431646172484196,3.27262118277397e-180
CG13298,5.414747047624619e-183,8.8456325,0.0,8.512354169873149,2.392595972428226,8.81953999117098e-179
mt:ATPase6,1.7886629395689045e-181,9.491466500000001,12.174783640992617,9.393776610676532,11.921582331527228,2.913374195969832e-177
HmgD,3.584572405396466e-181,8.63553,0.0,8.151151003424951,1.8412242580564204,5.838551533909764e-177
eIF-5A,8.28811192949643e-181,9.064084,0.0,8.78605485422833,2.9290197193854746,1.3499676710763785e-176
CG9098,3.6494015002846265e-180,9.1662485,0.0,7.838789677378429,0.9287509613154424,5.9441451636635995e-176
RpL22,5.404815337656505e-179,9.202406,5.622191802527181,8.940768054439754,4.557708325069392,8.803363221974916e-175
Ald,2.1285480516841078e-178,9.0311335,12.121225610723982,8.141855453298104,11.41103275035481,3.466979066583075e-174
SmF,9.840335219565454e-177,5.6017211499999995,0.0,4.7391253979069745,0.3563426274180745,1.602793800562821e-172
CG13928,1.1616742810226548e-176,11.4534175,9.368658918923902,11.291992738160678,7.169279388973763,1.8921350689297e-172
Hr4,1.790995992967843e-176,5.742672000000001,0.0,5.072338076310784,0.45894563879803774,2.917174273346023e-172
CG10098,2.3576099592896636e-176,9.456844499999999,0.0,9.088462928541217,3.147622541975383,3.840075101691004e-172
Ih,3.7373116219199483e-174,0.0,10.087695272181204,2.570962097410148,8.850091763147104,6.087333169783212e-170
sta,4.452214964056114e-174,11.139511,8.773037989781944,11.038906404862578,6.665131761006933,7.251767733454598e-170
CG14312,1.4933257216740409e-173,7.3932955499999995,0.0,6.922282226109931,1.4704040569185117,2.4323289354626777e-169
CG13532,5.134515887636679e-173,8.709291,0.0,7.45927737663848,1.22994023793581,8.363099477782623e-169
RpL23A,1.9595876128119364e-172,10.1757405,7.613690076605874,10.003455056131077,5.793510950337443,3.191776303748082e-168
mt:lrRNA,2.1402187628460167e-172,4.565035,8.622052040239973,4.726712382346714,8.61369430377337,3.485988320923592e-168
mt:ATPase8,7.651447952085217e-172,4.3088785,7.303710563691707,4.335636141860462,6.98959419382855,1.2462678424356402e-167
CG3662,1.7448168795727503e-171,8.3863155,12.016527024879895,6.862499454312901,11.004493658860335,2.8419577334480958e-167
CG7582,1.9305576771908499e-171,0.0,7.336836510174101,0.055375168921775894,5.189064339046622,3.1444923446084563e-167
Idh,2.1753662754806325e-171,9.407168,0.0,8.347555813424952,1.7445098683139477,3.543236589502854e-167
Hsc70-3,2.457909174443413e-171,10.336306,6.032004480564489,10.03679956014799,4.867699812412158,4.003442463333431e-167
Sema-2a,3.649885196236153e-171,9.0257435,0.0,8.100619119376328,2.3190839907637617,5.944933007629446e-167
Cyt-c-p,2.1507204025849133e-170,7.233983500000001,10.64666240678034,6.4592454277061275,9.908102340835578,3.5030933917303065e-166
Tcp-1eta,2.0742461861105707e-168,9.048117000000001,0.0,7.798453646828759,1.4002550554390494,3.3785321879368976e-164
Sra-1,4.823322162642307e-167,8.4710235,0.0,6.896798256384773,0.6248095094846071,7.85622713851179e-163
CG2862,6.34902955004288e-167,8.088597499999999,0.0,7.732453159450325,2.2474712978494202,1.0341299331109843e-162
smt3,6.470569005167796e-167,9.738011499999999,7.186850909675103,9.550314625687113,5.614145192557321,1.0539262795617307e-162
Hs3st-B,8.461809576895498e-167,9.18501,0.0,8.061602982177597,1.8319667714425791,1.3782595438847386e-162
mbf1,9.842923048083582e-167,9.2072395,0.0,8.759262912061313,2.9788637918985565,1.6032153060718538e-162
RhoBTB,1.4248891677771005e-166,9.026518500000002,0.0,7.9617750507716725,1.754069692253077,2.3208594764753415e-162
brat,4.715984440055893e-166,9.354193500000001,0.44795343003153487,8.81755458700846,2.948408073846749,7.681395455963039e-162
HIP,4.855786614308881e-166,7.2326068999999995,0.0,6.907132296987316,2.160163460770133,7.909105237386305e-162
CG9135,1.360640986782158e-165,8.527935,0.0,6.858552663953487,0.7385059821777571,2.216212039270779e-161
Sec61alpha,2.718986199217809e-165,9.102721500000001,0.0,8.242843519830872,2.256063780365332,4.428684721285967e-161
Src42A,4.2928856589990145e-165,8.360147,0.0,7.494737354767443,2.031579166972387,6.992252161377595e-161
CG5885,6.7173837480202345e-165,7.5465982,0.0,6.865551242653283,1.1736680230988268,1.0941274648775358e-160
Nrk,9.204911482316076e-165,8.6604515,0.0,6.732452292790701,0.49820895126864884,1.4992959822396424e-160
RpL13A,8.27871052985185e-164,10.444352250000001,7.977161727031129,10.339426588266372,6.106341290833624,1.3484363711022693e-159
RpLP0,1.3318971500533251e-163,10.4645315,8.238094143202654,10.351777737737859,6.014392870915269,2.169394078006856e-159
mt:srRNA,2.5343944787610648e-163,0.0,3.040452624598257,0.28470127044397464,3.060166791273912,4.1280217270060225e-159
RpL10,3.3271676727292137e-163,9.7990155,7.156513165647619,9.65605622854123,5.408388543781683,5.419290705341343e-159
capt,7.821426073952089e-163,8.205436,0.0,7.160875557695562,1.6856566330036766,1.2739538789253164e-158
Rho1,8.143069531735788e-163,9.7657435,2.373868733257707,9.333791277093022,3.9098637344321183,1.3263431653291252e-158
RpS4,8.765083826321859e-163,10.0772405,7.082139018519217,9.874880644608877,5.038569235359601,1.4276568536313044e-158
CaBP1,1.0491887491938412e-162,8.802528,0.0,7.922342910401702,1.9116577276833477,1.7089186346869285e-158
RpL40,1.286986987960581e-162,10.0551335,7.775599118551874,9.881661013002102,6.531333294025034,2.0962444059901943e-158
NaCP60E,2.8603153386688085e-162,0.0,8.782757726494989,1.1755084666807614,7.086955707733999,4.658881623623756e-158
RpL8,3.4767162823638337e-162,10.519269999999999,7.8756448265909365,10.29804770909091,5.720265611824165,5.6628754807142125e-158
U4-U6-60K,8.09219700698077e-162,8.90977925,0.0,7.487627215803382,1.1889333406033633,1.3180570484970279e-157
Gbeta13F,2.6839711397761646e-161,11.381972000000001,9.884056781099254,11.291356645877395,8.600027801445034,4.371652192467417e-157
pAbp,4.0027800794332505e-161,11.088704,9.121807867067645,10.890259303699791,8.388016753733192,6.519728193380879e-157
kcc,6.385962358893683e-161,0.0,6.366587098638002,0.7555290075052856,5.437363226575349,1.0401455490166031e-156
icln,1.0514350708429698e-160,7.56709035,0.0,6.456856644556027,0.9536468453739457,1.7125774433890292e-156
Pdi,2.2212637795833782e-160,9.1642015,0.0,8.5061954342072,2.8685059351195883,3.617994444185406e-156
Nckx30C,8.739487600306357e-160,0.0,9.241641616932283,1.493666398868923,7.4928350602090195,1.4234877403378994e-155
Hrb98DE,2.430205278422742e-159,9.8941485,2.6548668438830463,9.456913610105703,4.1116734955219,3.958318357494962e-155
Hsp26,5.611778390272218e-159,11.288807,3.522446084444659,11.034635977801265,4.625971592686168,9.140464642075388e-155
Myo81F,1.2016200879815316e-158,7.56905485,0.0,6.555207207928123,1.3118293003477572,1.9571987993043188e-154
Hop,3.291663753310098e-158,8.6988825,0.0,7.698689865433409,1.9800984757666509,5.361461921391488e-154
T-cp1,4.568893176598557e-158,8.836518000000002,0.0,7.471384795295982,1.4209788625929984,7.44181320604373e-154
CG5525,1.538680353206716e-157,9.0424645,0.0,7.707582605010579,1.519087390054528,2.506202559303099e-153
Ddc,3.114057896055687e-157,0.0,9.598668170261597,1.7831742481501054,7.950930358448808,5.072177501095503e-153
FK506-bp2,6.338979920352045e-157,10.2683865,8.109274103286268,10.147083928118388,6.1132226505758025,1.0324930494269412e-152
CG11851,1.1169101618312882e-156,7.07111,0.0,5.775659436627911,0.4525998462380785,1.819223271590802e-152
Hel25E,1.5167129408444913e-156,9.2627755,0.0,8.479947578224104,2.297218301416584,2.4704220380475075e-152
RpL7A,1.9839760107663635e-156,9.725848,6.34305977258703,9.423889412262161,4.739546702183014,3.2315001263362527e-152
CR40611,3.07248286667393e-156,0.0,2.533466304719992,0.2520183112156446,2.1251792116451544,5.004460093238497e-152
Glut4EF,4.5594271425432496e-156,0.0,8.817750092552675,2.1277368034672306,7.643504964283572,7.426394929774445e-152
Tapdelta,2.458634533026278e-155,8.4342445,0.0,7.881208093551798,2.1272931574331535,4.004623927393201e-151
CG1943,7.044868652746643e-154,8.54902,0.0,8.14080719386893,2.6538286041349104,1.1474682061593732e-149
